Hedge 3: X: 20.022 m, Y: 6.701 m, Z: 0.000 m, Angle: 0 at time T: 1970-01-01 00:18:54-996
Hedge 3: X: 20.023 m, Y: 6.700 m, Z: 0.000 m, Angle: 0 at time T: 1970-01-01 00:18:55-114
Hedge 3: X: 20.023 m, Y: 6.699 m, Z: 0.000 m, Angle: 0 at time T: 1970-01-01 00:18:55-232
Hedge 3: X: 20.023 m, Y: 6.699 m, Z: 0.000 m, Angle: 0 at time T: 1970-01-01 00:18:55-350
Hedge 3: X: 20.023 m, Y: 6.699 m, Z: 0.000 m, Angle: 0 at time T: 1970-01-01 00:18:55-468
Hedge 3: X: 20.023 m, Y: 6.699 m, Z: 0.000 m, Angle: 0 at time T: 1970-01-01 00:18:55-586
Hedge 3: X: 20.023 m, Y: 6.699 m, Z: 0.000 m, Angle: 0 at time T: 1970-01-01 00:18:55-704
Hedge 3: X: 20.022 m, Y: 6.701 m, Z: 0.000 m, Angle: 0 at time T: 1970-01-01 00:18:55-822
Hedge 3: X: 20.022 m, Y: 6.700 m, Z: 0.000 m, Angle: 0 at time T: 1970-01-01 00:18:55-941
Hedge 3: X: 20.022 m, Y: 6.700 m, Z: 0.000 m, Angle: 0 at time T: 1970-01-01 00:18:56-059
Hedge 3: X: 20.022 m, Y: 6.700 m, Z: 0.000 m, Angle: 0 at time T: 1970-01-01 00:18:56-177
Hedge 3: X: 20.022 m, Y: 6.700 m, Z: 0.000 m, Angle: 0 at time T: 1970-01-01 00:18:56-295
Hedge 3: X: 20.023 m, Y: 6.700 m, Z: 0.000 m, Angle: 0 at time T: 1970-01-01 00:18:56-413
Hedge 3: X: 20.023 m, Y: 6.700 m, Z: 0.000 m, Angle: 0 at time T: 1970-01-01 00:18:56-531
Hedge 3: X: 20.022 m, Y: 6.700 m, Z: 0.000 m, Angle: 0 at time T: 1970-01-01 00:18:56-649
Hedge 3: X: 20.021 m, Y: 6.702 m, Z: 0.000 m, Angle: 0 at time T: 1970-01-01 00:18:56-767
Hedge 3: X: 20.019 m, Y: 6.705 m, Z: 0.000 m, Angle: 0 at time T: 1970-01-01 00:18:56-885
Hedge 3: X: 20.016 m, Y: 6.708 m, Z: 0.000 m, Angle: 0 at time T: 1970-01-01 00:18:57-005
Hedge 3: X: 20.011 m, Y: 6.714 m, Z: 0.000 m, Angle: 0 at time T: 1970-01-01 00:18:57-123
Hedge 3: X: 20.004 m, Y: 6.719 m, Z: 0.000 m, Angle: 0 at time T: 1970-01-01 00:18:57-241
Hedge 3: X: 19.994 m, Y: 6.728 m, Z: 0.000 m, Angle: 0 at time T: 1970-01-01 00:18:57-359
Hedge 3: X: 19.983 m, Y: 6.737 m, Z: 0.000 m, Angle: 0 at time T: 1970-01-01 00:18:57-477
Hedge 3: X: 19.969 m, Y: 6.749 m, Z: 0.000 m, Angle: 0 at time T: 1970-01-01 00:18:57-595
Hedge 3: X: 19.953 m, Y: 6.763 m, Z: 0.000 m, Angle: 0 at time T: 1970-01-01 00:18:57-713
Hedge 3: X: 19.934 m, Y: 6.782 m, Z: 0.000 m, Angle: 0 at time T: 1970-01-01 00:18:57-831
Hedge 3: X: 19.914 m, Y: 6.805 m, Z: 0.000 m, Angle: 0 at time T: 1970-01-01 00:18:57-949
